"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"352",352,"2:47:48","Better Lovers",361,"Courtney Cline / Erin Schulz","/","Recreational Women",10
"353",353,"2:48:04","1 Drink Maximum",181,"Sara Edmonds / Michael Hoffman","/","Whatcom County Open",36
"354",354,"2:48:06","Radoans",393,"Laurie Kramer / Rylee Sweeney","/","Recreational Women",11
"355",355,"2:48:07","SloMos",512,"Greg Mork / Sarah Mork","/","Family",11
"356",356,"2:48:25","Book Fare Barracudas",183,"Alisha Pedron / Hillary Bean","/","Whatcom County Mixed",11
"357",357,"2:49:00","Windermere",187,"Mark Brown / Micaiah Brown","/","Whatcom County Mixed",12
"358",358,"2:49:22","Zoo Nerds",333,"Michelle Darbous / Corey Toews","/","Recreational Mixed",53
"359",359,"2:49:26","Flaming Insanity",368,"Jenny Chatterton / Deanna Kaech","/","Recreational Mixed",54
"360",360,"2:49:33","BioLife",145,"Richie Hegarty / Joseph Coder","/","Whatcom County Mixed",13
"361",361,"2:49:34","Bust A Cap(illary)",355,"Nicole Ward / Allison Daniels","/","Recreational Mixed",55
"362",362,"2:49:35","Stumptown Shakedown",254,"Kevin Langstaff / Sara Culp","/","Recreational Mixed",56
"363",363,"2:49:39","Here For Beer!",399,"Kara Fuhrmeister / Ellie Chatman","/","Recreational Mixed",57
"364",364,"2:49:52","The Bosses",164,"Aubrey Ahlberg / Will Buker","/","Whatcom County Open",37
"365",365,"2:50:13","ashworth etc",268,"Tom Langran / elizabeth nelson","/","Recreational Open",92
"366",366,"2:50:21","Gigador",510,"Eric Rackl / Elsa Rackl","/","Family",12
"367",367,"2:50:49","G-FORCE",401,"Leanne Kozicki / Amelia Cosgrove","/","Recreational Open",93
"368",368,"2:51:05","Troop 20",166,"Kyle Lukacovic / Steven Brugge","/","Whatcom County Open",38
"369",369,"2:51:12","The Green Monkeys",258,"Joshua Wilke / Sam Knight","/","Recreational Open",94
"370",370,"2:52:00","Reasonably Developed Frontal Lobes",332,"Anna Alexander / Matt Alexander","/","Recreational Mixed",58
"371",371,"2:52:01","Up for It",389,"Liz Hunt / Gina Campbell","/","Recreational Open",95
"372",372,"2:52:08","Little Urban Achievers",56,"Daniel Elkayam / Josh Forsythe","/","Competitive Open",64
"373",373,"2:52:17","Project Subniveal",362,"Jesse Phillips / Ashley Ericksmoen","/","Recreational Open",96
"374",374,"2:52:40","The Barelies",212,"bruce carpenter / chris schepper","/","Recreational Mixed",59
"375",375,"2:52:44","City Gym",213,"Darrin Downs / Katherine Lundberg","/","Recreational Mixed",60
"376",376,"2:52:47","Longhorn Ladies",394,"Britt Potter / Allie Volland","/","Recreational Women",12
