"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"184",184,"0:42:11","Cordata Dental",270,"Nicole koshure","Female","Family",4
"185",185,"0:42:12","Southwest Airlines 1",219,"Gene Reeck","Male","Corporate",15
"186",186,"0:42:13","Fear No Sag",142,"Tyge Shelby","Male","Recreational Mixed",23
"187",187,"0:42:17","Evolve",296,"Jackson Nung","Male","Whatcom County Mixed",4
"188",188,"0:42:21","The Bourm Identity",32,"Tyler Kent","Male","Whatcom County Open",16
"189",189,"0:42:23","Timber Tamers",70,"Cory McDonald","Male","Recreational Open",52
"190",190,"0:42:25","Nooksack Tea Party",48,"Grant Lee","Male","Recreational Open",53
"191",190,"0:42:25","Barely Heating '16",343,"Max Hannah","Male","High School",4
"192",192,"0:42:28","Diminishing Returns",173,"Chris Sandvig","Male","Whatcom County Mixed",5
"193",193,"0:42:31","Amatuer Hour",346,"Ryan Lynch","Male","Recreational Open",54
"194",194,"0:42:33","Winers and Whiners",33,"Gary Griffiths","Male","Recreational Open",55
"195",195,"0:42:39","Exxel Pacific",11,"Brian Slick","Male","Corporate",16
"196",196,"0:42:44","A Mixed Bag of Nuts",283,"John Halliday","Male","Corporate",17
"197",196,"0:42:44","Mills Electric Shockers",163,"Dustin Sasken","Male","Corporate",17
"198",196,"0:42:44","Team Deinonychus",209,"Chris Soncarty","Male","Recreational Open",56
"199",199,"0:42:45","Tricksy Hobbitses",269,"Tyler Bowen","Male","Recreational Mixed",24
"200",200,"0:42:48","PRiME Massage and Sports Medicine",293,"Melissa Bogert","Female","Whatcom County Women",3
"201",201,"0:42:51","Wander Brewing",135,"Nicole Willis","Female","Whatcom County Women",4
"202",202,"0:42:53","60% of the Time We Win Every Time",318,"Dan gleckman","Male","Recreational Open",57
"203",203,"0:42:55","Orcas Up Your Nooksack",141,"Michael Brodsky","Male","Recreational Open",58
"204",204,"0:43:00","Eradicators",133,"peter small","Male","Competitive Mixed",6
"205",205,"0:43:07","BrewBalls",162,"Eric Landis","Male","Recreational Open",59
"206",206,"0:43:12","Ski to Sea Sissies",201,"Kara Lackey","Female","Competitive Women",5
"207",207,"0:43:27","Spark Museum | Whatcom Women Scientists",200,"Robin Kodner","Female","Whatcom County Women",5
"208",208,"0:43:28","Mustangs Out",74,"peter donaldson","Male","Corporate",19
"209",209,"0:43:30","Love it",237,"John Jenkins","Male","Recreational Open",60
"210",210,"0:43:31","Metcalf Hodges CPAs",34,"Nick Barrett","Male","Recreational Mixed",25
"211",211,"0:43:34","SHEroes",247,"Selva Wohlgemuth","Female","Competitive Women",6
