"","Leg Place","Elapsed Time","Team Name","Racer Name","Gender","Category","Div Place"
"149",149,"0:43:32","Silent Butt Deadly","Yonk Reinemer","","Recreational Open",40
"150",150,"0:43:35","Quattro","Chris Spilker","","Recreational Mixed",15
"151",151,"0:43:41","Exxel Pacific","Sean Stimac","","Corporate",8
"152",152,"0:43:44","The Orphans","Rosemary Henry","","Recreational Women",3
"153",152,"0:43:44","High Expectations","Cameron ""Scout"" Mora","","High School",4
"154",154,"0:43:45","Hollander Investments","Darren Postma","","Whatcom County Open",9
"155",155,"0:43:49","CH2MHILL","Dale Dunford","","Corporate",9
"156",156,"0:43:52","YD Adventures","Deborah Molsberry","","Recreational Mixed",16
"157",157,"0:43:54","Half & Half","Evgeni Diment","","Competitive Open",41
"158",158,"0:43:59","To Be Determined","Ross Anderson","","Veterans",10
"159",159,"0:44:02","SpandeXXXX","Daniel Roche","","Competitive Mixed",6
"160",160,"0:44:06","Bellingham Firefighters","Jason Sims","","Corporate",10
"161",161,"0:44:11","Angle of Repose","Kiko Anderson","","Whatcom County Open",10
"162",162,"0:44:15","HAMSTERDAM","Scott Pelton","","Recreational Open",41
"163",163,"0:44:18","Mas Margaritas","Mike Bakko","","Recreational Open",42
"164",163,"0:44:18","Wood Stone Ash Kickers","Mark Stephenson","","Corporate",11
"165",165,"0:44:22","Bike Spot","Juddy Ellison","","Recreational Open",43
"166",166,"0:44:23","I Don't Care","Wayne Martin","","Recreational Open",44
"167",167,"0:44:28","The Iron Maidens","Karen O'Keefe","","Recreational Women",4
"168",168,"0:44:30","Skagit Valley College","George Biehl","","Recreational Open",45
"169",168,"0:44:30","The Cookie Monsters","Annie Thomson","","Recreational Open",45
"170",170,"0:44:31","Team Sasquatch","Mark Larsen","","Corporate",12
"171",171,"0:44:32","MasterBakers","Joss Whittaker","","Recreational Open",47
"172",171,"0:44:32","Raise Hell Clean Up","Carl Johnston","","Family",6
"173",173,"0:44:33","Nomads","Steve Jacobsen","","Competitive Open",42
"174",174,"0:44:37","""I want my two dollars!""","Neil Doherty","","Recreational Mixed",17
"175",175,"0:44:38","Kevin LaFleur Memorial Team Mixed","Kai Ottesen","","Recreational Mixed",18
"176",176,"0:44:39","Mt Baker Vision Clinic - Sight for Sore Eyes","Eric Long","","Recreational Open",48
"177",177,"0:44:49","Team Wave","Lucas Wight","","Recreational Open",49
"178",178,"0:44:50","Higher Plane Cabinets","James Stegen","","Competitive Open",43
"179",179,"0:44:51","wild hose rides again","Robert Fritzen","","Masters",5
"180",179,"0:44:51","Ski to Seamen","Devon Butler","","Recreational Open",50
"181",181,"0:44:53","Car Free-- Slugg Army","Simon Graves","","Whatcom County Open",11
"182",182,"0:45:03","Sweaty In All The Wrong Places","Nick Hayes","","Recreational Mixed",19
"183",183,"0:45:04","""West Coast Wraith""","Mike Vercammen","","Recreational Open",51
"184",184,"0:45:12","The Monkey Wrench Gang","Rob McCormack","","Competitive Open",44
"185",185,"0:45:17","Tumwater Shadies","Greg Rabourn","","Recreational Mixed",20
"186",186,"0:45:19","Rollie Pollie Ollie's","Braelan Barnett","","Family",7
"187",186,"0:45:19","Team Deinonychus","Alec Swirski","","Recreational Open",52
"188",188,"0:45:21","Sleepy Cheetahs","Aubrey Rosenthal","","Competitive Mixed",7
