"","player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game"
"343","Luca Harwood","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",4,0,7,3,6,5,0.8,0,1.4,0.6,1.2
"344","Leo Gentile","Division 3","Men","Division 3 Men","Williams WUFO",3,3,0,6,6,6,0.5,0.5,0,1,1
"345","Landon Hall","Division 3","Men","Division 3 Men","Davenport Panthers",1,1,0,6,6,6,0.166666666666667,0.166666666666667,0,1,1
"346","Kushal Khangaonkar","Division 1","Men","Division 1 Men","Cal Ursa Major",5,0,5,6,6,5,1,0,1,1.2,1.2
"347","Kevin Pignone","Division 1","Men","Division 1 Men","North Carolina Darkside",7,1,9,3,6,6,1.16666666666667,0.166666666666667,1.5,0.5,1
"348","Keaton Orser","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",2,1,1,6,6,7,0.285714285714286,0.142857142857143,0.142857142857143,0.857142857142857,0.857142857142857
"349","Keali Mccarter","Division 1","Men","Division 1 Men","Oregon EGO",3,6,1,2,6,6,0.5,1,0.166666666666667,0.333333333333333,1
"350","Justin Wallace","Division 3","Men","Division 3 Men","Franciscan Fatal",7,2,6,5,6,6,1.16666666666667,0.333333333333333,1,0.833333333333333,1
"351","Julian Saunt","Division 1","Men","Division 1 Men","Oregon EGO",2,4,3,1,6,6,0.333333333333333,0.666666666666667,0.5,0.166666666666667,1
"352","Josh Solomon","Division 1","Men","Division 1 Men","Michigan Magnum",1,1,2,4,6,5,0.2,0.2,0.4,0.8,1.2
"353","John Mogyordy","Division 3","Men","Division 3 Men","Rochester Piggies",0,0,1,5,6,6,0,0,0.166666666666667,0.833333333333333,1
"354","Jada Himmelberg","Division 3","Women","Division 3 Women","St Olaf Vortex",1,3,2,2,6,5,0.2,0.6,0.4,0.4,1.2
"355","Jack Ringel","Division 3","Men","Division 3 Men","Rochester Piggies",2,2,3,3,6,6,0.333333333333333,0.333333333333333,0.5,0.5,1
"356","Henry Everett","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,1,1,4,6,5,0,0.2,0.2,0.8,1.2
"357","Harper Baer","Division 1","Women","Division 1 Women","Stanford Superfly",14,4,12,4,6,7,2,0.571428571428571,1.71428571428571,0.571428571428571,0.857142857142857
"358","Erica Birdsong","Division 1","Women","Division 1 Women","North Carolina Pleiades",3,3,2,4,6,7,0.428571428571429,0.428571428571429,0.285714285714286,0.571428571428571,0.857142857142857
"359","Emmett Forster","Division 3","Men","Division 3 Men","Carleton CHOP",0,2,1,3,6,6,0,0.333333333333333,0.166666666666667,0.5,1
"360","Emery Goulet","Division 1","Men","Division 1 Men","Cal Ursa Major",2,2,2,4,6,5,0.4,0.4,0.4,0.8,1.2
"361","Clara Gale","Division 1","Women","Division 1 Women","Carleton Syzygy",4,4,1,5,6,6,0.666666666666667,0.666666666666667,0.166666666666667,0.833333333333333,1
"362","Christopher Heron","Division 1","Men","Division 1 Men","Washington University Contra",2,2,2,4,6,5,0.4,0.4,0.4,0.8,1.2
"363","Carter Hawkins","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",5,2,4,5,6,5,1,0.4,0.8,1,1.2
"364","Benjamin Morse","Division 3","Men","Division 3 Men","Bates Orange Whip",10,1,3,12,6,6,1.66666666666667,0.166666666666667,0.5,2,1
"365","Ben Tokarz","Division 1","Men","Division 1 Men","Penn State Spank",3,5,2,2,6,5,0.6,1,0.4,0.4,1.2
"366","Aryanna Chartrand","Division 1","Women","Division 1 Women","Stanford Superfly",2,2,0,6,6,7,0.285714285714286,0.285714285714286,0,0.857142857142857,0.857142857142857
"367","Arthur Aucoin","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",1,2,2,3,6,5,0.2,0.4,0.4,0.6,1.2
"368","Anna Matsui","Division 3","Women","Division 3 Women","Colorado College Zenith",2,2,1,5,6,6,0.333333333333333,0.333333333333333,0.166666666666667,0.833333333333333,1
"369","Anika Quon","Division 1","Women","Division 1 Women","Stanford Superfly",7,4,3,6,6,7,1,0.571428571428571,0.428571428571429,0.857142857142857,0.857142857142857
"370","Alex Hasenkamp","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",4,1,6,3,6,5,0.8,0.2,1.2,0.6,1.2
"371","Alex Hall-Witt","Division 1","Men","Division 1 Men","Oregon EGO",0,3,0,3,6,6,0,0.5,0,0.5,1
"372","Aiden Landis","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",13,1,14,4,6,5,2.6,0.2,2.8,0.8,1.2
"373","Addie New-Schmidt","Division 3","Women","Division 3 Women","Wellesley Whiptails",13,8,3,8,6,6,2.16666666666667,1.33333333333333,0.5,1.33333333333333,1
"374","Yayla Tur","Division 1","Women","Division 1 Women","Tufts EWO",0,2,0,3,5,5,0,0.4,0,0.6,1
"375","Toby Rivera","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",4,3,5,1,5,6,0.666666666666667,0.5,0.833333333333333,0.166666666666667,0.833333333333333
"376","Talon Balcom","Division 1","Men","Division 1 Men","Texas TUFF",2,2,2,3,5,5,0.4,0.4,0.4,0.6,1
"377","Summers Filion","Division 3","Women","Division 3 Women","Portland UPRoar",0,0,1,4,5,6,0,0,0.166666666666667,0.666666666666667,0.833333333333333
"378","Sonia Rao","Division 1","Women","Division 1 Women","North Carolina Pleiades",1,2,1,3,5,7,0.142857142857143,0.285714285714286,0.142857142857143,0.428571428571429,0.714285714285714
"379","Sean Rogers","Division 3","Men","Division 3 Men","St Olaf Berzerkers",5,4,4,2,5,6,0.833333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.833333333333333
"380","Sarah Lester","Division 3","Women","Division 3 Women","St Olaf Vortex",3,3,0,5,5,5,0.6,0.6,0,1,1
"381","Roger Zeng","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,0,2,3,5,5,0,0,0.4,0.6,1
"382","Pilar Andruet","Division 3","Women","Division 3 Women","Carleton Eclipse",3,4,1,3,5,6,0.5,0.666666666666667,0.166666666666667,0.5,0.833333333333333
"383","Philip Acimovic","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",10,6,5,4,5,5,2,1.2,1,0.8,1
"384","Paka Ferrer","Division 1","Women","Division 1 Women","Washington Element",3,4,2,2,5,5,0.6,0.8,0.4,0.4,1
"385","Owen Lehmkuhl","Division 3","Men","Division 3 Men","St Olaf Berzerkers",4,3,1,5,5,6,0.666666666666667,0.5,0.166666666666667,0.833333333333333,0.833333333333333
"386","Nicholas Gohar","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",3,1,3,4,5,5,0.6,0.2,0.6,0.8,1
"387","Morey Averill","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",1,5,0,1,5,5,0.2,1,0,0.2,1
"388","Molly Bingham","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",0,1,0,4,5,5,0,0.2,0,0.8,1
"389","Max Sponseller","Division 3","Men","Division 3 Men","St Olaf Berzerkers",5,1,5,4,5,6,0.833333333333333,0.166666666666667,0.833333333333333,0.666666666666667,0.833333333333333
"390","Mauricio Badillo Moorman","Division 1","Men","Division 1 Men","Carleton CUT",3,1,2,5,5,5,0.6,0.2,0.4,1,1
"391","Lisa Wei","Division 1","Women","Division 1 Women","North Carolina Pleiades",2,2,1,4,5,7,0.285714285714286,0.285714285714286,0.142857142857143,0.571428571428571,0.714285714285714
"392","Kayla Hickey","Division 1","Women","Division 1 Women","Washington Element",7,2,5,5,5,5,1.4,0.4,1,1,1
"393","Katie Craven","Division 3","Women","Division 3 Women","Colorado College Zenith",7,6,3,3,5,6,1.16666666666667,1,0.5,0.5,0.833333333333333
"394","Kathleen Bourdon","Division 1","Women","Division 1 Women","Victoria Vikes",11,5,6,5,5,5,2.2,1,1.2,1,1
"395","Kate Goodman","Division 3","Women","Division 3 Women","Middlebury Pranksters",1,1,4,1,5,5,0.2,0.2,0.8,0.2,1
"396","Julia Mockert","Division 3","Women","Division 3 Women","St Olaf Vortex",2,4,2,1,5,5,0.4,0.8,0.4,0.2,1
"397","Jolie Krebs","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",53,15,38,5,5,5,10.6,3,7.6,1,1
"398","John Savage","Division 3","Men","Division 3 Men","Middlebury Pranksters",2,1,5,1,5,5,0.4,0.2,1,0.2,1
"399","Joe Salitsky","Division 3","Men","Division 3 Men","Franciscan Fatal",7,5,5,2,5,6,1.16666666666667,0.833333333333333,0.833333333333333,0.333333333333333,0.833333333333333
"400","Jayna Rogers","Division 1","Women","Division 1 Women","Oregon Fugue",2,2,3,2,5,6,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.833333333333333
"401","Jake Worthington","Division 1","Men","Division 1 Men","Texas TUFF",1,2,2,2,5,5,0.2,0.4,0.4,0.4,1
"402","Jade Remacle","Division 3","Women","Division 3 Women","Davenport Panthers",2,0,1,6,5,5,0.4,0,0.2,1.2,1
"403","Jacques Paradis","Division 3","Men","Division 3 Men","Claremont Braineaters",4,3,1,5,5,6,0.666666666666667,0.5,0.166666666666667,0.833333333333333,0.833333333333333
"404","Jackson Heglie","Division 1","Men","Division 1 Men","Oregon EGO",1,0,0,6,5,6,0.166666666666667,0,0,1,0.833333333333333
"405","Jack Dinsmore","Division 1","Men","Division 1 Men","Cal Ursa Major",0,4,0,1,5,5,0,0.8,0,0.2,1
"406","Isabel Myers-Miller","Division 1","Women","Division 1 Women","North Carolina Pleiades",5,7,1,2,5,7,0.714285714285714,1,0.142857142857143,0.285714285714286,0.714285714285714
"407","Iris Guo","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",1,3,0,3,5,6,0.166666666666667,0.5,0,0.5,0.833333333333333
"408","Hazel DeHarpporte","Division 3","Women","Division 3 Women","Carleton Eclipse",7,6,1,5,5,6,1.16666666666667,1,0.166666666666667,0.833333333333333,0.833333333333333
"409","Georgia Walker-Keleher","Division 1","Women","Division 1 Women","Stanford Superfly",1,1,1,4,5,7,0.142857142857143,0.142857142857143,0.142857142857143,0.571428571428571,0.714285714285714
"410","Gavyn Jensen-Schneider","Division 3","Men","Division 3 Men","Carleton CHOP",2,4,0,3,5,6,0.333333333333333,0.666666666666667,0,0.5,0.833333333333333
"411","Frances Magnuson","Division 3","Women","Division 3 Women","Portland UPRoar",4,3,1,5,5,6,0.666666666666667,0.5,0.166666666666667,0.833333333333333,0.833333333333333
"412","Ethan Pigeon","Division 1","Men","Division 1 Men","Penn State Spank",6,3,4,4,5,5,1.2,0.6,0.8,0.8,1
"413","Emily Cook","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",5,5,0,5,5,5,1,1,0,1,1
"414","Elijah Axt","Division 3","Men","Division 3 Men","Claremont Braineaters",13,5,3,10,5,6,2.16666666666667,0.833333333333333,0.5,1.66666666666667,0.833333333333333
"415","Dominic Kenyon","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",3,1,1,6,5,5,0.6,0.2,0.2,1.2,1
"416","Cullen Baker","Division 1","Men","Division 1 Men","Carleton CUT",6,2,3,6,5,5,1.2,0.4,0.6,1.2,1
"417","Conor Babcock O'Neill","Division 1","Men","Division 1 Men","Carleton CUT",3,0,1,7,5,5,0.6,0,0.2,1.4,1
"418","Christopher Kiepert","Division 1","Men","Division 1 Men","Vermont Chill",14,4,9,6,5,5,2.8,0.8,1.8,1.2,1
"419","Chase Drinkwater","Division 1","Men","Division 1 Men","Vermont Chill",3,2,2,4,5,5,0.6,0.4,0.4,0.8,1
"420","Chander Boyd-Fliegel","Division 1","Men","Division 1 Men","Oregon EGO",10,1,11,3,5,6,1.66666666666667,0.166666666666667,1.83333333333333,0.5,0.833333333333333
"421","Catherine Fradenburg","Division 1","Women","Division 1 Women","North Carolina Pleiades",2,3,0,4,5,7,0.285714285714286,0.428571428571429,0,0.571428571428571,0.714285714285714
"422","Carter Schafer","Division 3","Men","Division 3 Men","St Olaf Berzerkers",0,3,1,1,5,6,0,0.5,0.166666666666667,0.166666666666667,0.833333333333333
"423","Cameron Lowe","Division 3","Men","Division 3 Men","Rochester Piggies",23,5,15,8,5,6,3.83333333333333,0.833333333333333,2.5,1.33333333333333,0.833333333333333
"424","Bix Weissberg","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",4,3,4,2,5,6,0.666666666666667,0.5,0.666666666666667,0.333333333333333,0.833333333333333
"425","Aria Kischner","Division 1","Women","Division 1 Women","Carleton Syzygy",6,3,1,7,5,6,1,0.5,0.166666666666667,1.16666666666667,0.833333333333333
"426","Annika Wolberg","Division 3","Women","Division 3 Women","Wellesley Whiptails",20,11,7,7,5,6,3.33333333333333,1.83333333333333,1.16666666666667,1.16666666666667,0.833333333333333
"427","Amanda Roberts","Division 3","Women","Division 3 Women","Wellesley Whiptails",7,7,1,4,5,6,1.16666666666667,1.16666666666667,0.166666666666667,0.666666666666667,0.833333333333333
"428","Alison Brzostowicz","Division 1","Women","Division 1 Women","Colorado Quandary",9,6,1,7,5,7,1.28571428571429,0.857142857142857,0.142857142857143,1,0.714285714285714
"429","alex santai","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",5,0,7,3,5,5,1,0,1.4,0.6,1
"430","Akos Konkoly","Division 1","Men","Division 1 Men","Minnesota Grey Duck",0,1,2,2,5,5,0,0.2,0.4,0.4,1
"431","Adam McNichols","Division 1","Men","Division 1 Men","Oregon EGO",3,1,2,5,5,6,0.5,0.166666666666667,0.333333333333333,0.833333333333333,0.833333333333333
"432","Aaron Bedi","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",1,5,1,0,5,6,0.166666666666667,0.833333333333333,0.166666666666667,0,0.833333333333333
"433","William Ahlstrom","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",6,4,0,6,4,6,1,0.666666666666667,0,1,0.666666666666667
"434","Vincent Sullivan","Division 3","Men","Division 3 Men","Middlebury Pranksters",0,0,0,4,4,5,0,0,0,0.8,0.8
"435","Tyler Shelton","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",4,2,2,4,4,6,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667
"436","Spencer Whitcomb","Division 1","Men","Division 1 Men","Penn State Spank",2,2,3,1,4,5,0.4,0.4,0.6,0.2,0.8
"437","Silas Camp","Division 3","Men","Division 3 Men","Berry Bucks",0,2,1,1,4,6,0,0.333333333333333,0.166666666666667,0.166666666666667,0.666666666666667
"438","Sebastian Heredia","Division 3","Men","Division 3 Men","Claremont Braineaters",0,0,1,3,4,6,0,0,0.166666666666667,0.5,0.666666666666667
"439","Sasha Monks","Division 3","Women","Division 3 Women","Carleton Eclipse",6,3,5,2,4,6,1,0.5,0.833333333333333,0.333333333333333,0.666666666666667
"440","Sarah Rifkin","Division 3","Women","Division 3 Women","Middlebury Pranksters",16,4,11,5,4,5,3.2,0.8,2.2,1,0.8
"441","Sarah Malone","Division 3","Women","Division 3 Women","Colorado College Zenith",1,0,0,5,4,6,0.166666666666667,0,0,0.833333333333333,0.666666666666667
"442","Sara Garcia","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts",15,4,6,9,4,6,2.5,0.666666666666667,1,1.5,0.666666666666667
"443","Ryan Bliss","Division 1","Men","Division 1 Men","Vermont Chill",6,0,7,3,4,5,1.2,0,1.4,0.6,0.8
"444","Robert McAllister","Division 1","Men","Division 1 Men","NC State Alpha",1,1,2,2,4,6,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.666666666666667
"445","Riley Raker","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",3,1,4,2,4,5,0.6,0.2,0.8,0.4,0.8
"446","Rachel Prager","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",1,2,1,2,4,5,0.2,0.4,0.2,0.4,0.8
"447","Rachel Poppleton","Division 3","Women","Division 3 Women","Carleton Eclipse",3,4,2,1,4,6,0.5,0.666666666666667,0.333333333333333,0.166666666666667,0.666666666666667
"448","Nora Ito","Division 3","Women","Division 3 Women","Colorado College Zenith",1,0,4,1,4,6,0.166666666666667,0,0.666666666666667,0.166666666666667,0.666666666666667
"449","Nobi (Masao) Lorenz","Division 1","Men","Division 1 Men","Carleton CUT",3,0,2,5,4,5,0.6,0,0.4,1,0.8
"450","Nadav Melamede","Division 3","Men","Division 3 Men","Middlebury Pranksters",3,0,3,4,4,5,0.6,0,0.6,0.8,0.8
"451","Monica O'Brien Saez","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",6,3,2,5,4,5,1.2,0.6,0.4,1,0.8
"452","Mitchell Gibson","Division 1","Men","Division 1 Men","Cal Ursa Major",0,2,0,2,4,5,0,0.4,0,0.4,0.8
"453","Maxime Ayad","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",7,3,4,4,4,5,1.4,0.6,0.8,0.8,0.8
"454","Matt Fliegel","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",1,0,1,4,4,6,0.166666666666667,0,0.166666666666667,0.666666666666667,0.666666666666667
"455","Mars Bau","Division 1","Women","Division 1 Women","California - San Diego D-Co",0,1,0,3,4,5,0,0.2,0,0.6,0.8
"456","Maria Muller","Division 1","Women","Division 1 Women","Vermont Ruckus",0,1,0,3,4,6,0,0.166666666666667,0,0.5,0.666666666666667
"457","Mandy Li","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",3,2,1,4,4,6,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0.666666666666667
"458","Madeline Wychocki","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain",1,1,2,2,4,6,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.666666666666667
"459","Leo Narbonne","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,1,0,3,4,5,0,0.2,0,0.6,0.8
"460","Leah Silverman","Division 1","Women","Division 1 Women","Vermont Ruckus",8,3,4,5,4,6,1.33333333333333,0.5,0.666666666666667,0.833333333333333,0.666666666666667
"461","Kristof Rohaly-Medved","Division 1","Men","Division 1 Men","Vermont Chill",4,1,0,7,4,5,0.8,0.2,0,1.4,0.8
"462","Kiera Schreiber","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",3,0,0,7,4,5,0.6,0,0,1.4,0.8
"463","Kenneth Stanley","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",1,4,0,1,4,6,0.166666666666667,0.666666666666667,0,0.166666666666667,0.666666666666667
"464","Julia Smith","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts",7,4,4,3,4,6,1.16666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667
"465","Joe Hess","Division 1","Men","Division 1 Men","Washington University Contra",0,1,0,3,4,5,0,0.2,0,0.6,0.8
"466","Jamie Jung","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",6,5,1,4,4,6,1,0.833333333333333,0.166666666666667,0.666666666666667,0.666666666666667
"467","Jackson Knox (Oregon)","Division 1","Men","Division 1 Men","Oregon EGO",1,1,1,3,4,6,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.666666666666667
"468","Jack Schmader","Division 1","Men","Division 1 Men","Michigan Magnum",1,2,1,2,4,5,0.2,0.4,0.2,0.4,0.8
"469","Hiatt von Alten","Division 1","Men","Division 1 Men","NC State Alpha",0,0,1,3,4,6,0,0,0.166666666666667,0.5,0.666666666666667
"470","Henry Chen","Division 1","Men","Division 1 Men","North Carolina Darkside",0,3,1,0,4,6,0,0.5,0.166666666666667,0,0.666666666666667
"471","Gus Serff-Roberts","Division 1","Men","Division 1 Men","Oregon State Beavers",1,1,4,0,4,5,0.2,0.2,0.8,0,0.8
"472","Gavin Babbitt","Division 1","Men","Division 1 Men","Texas TUFF",1,1,3,1,4,5,0.2,0.2,0.6,0.2,0.8
"473","Galen Moll","Division 1","Men","Division 1 Men","Oregon State Beavers",3,2,0,5,4,5,0.6,0.4,0,1,0.8
"474","Ezra Tock","Division 3","Men","Division 3 Men","Rochester Piggies",1,2,1,2,4,6,0.166666666666667,0.333333333333333,0.166666666666667,0.333333333333333,0.666666666666667
"475","Ethan Greeley","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",3,2,2,3,4,6,0.5,0.333333333333333,0.333333333333333,0.5,0.666666666666667
"476","Emma Wennberg","Division 1","Women","Division 1 Women","Pennsylvania Venus",1,3,1,1,4,5,0.2,0.6,0.2,0.2,0.8
"477","Ellison Martin","Division 1","Women","Division 1 Women","Georgia Athena",0,2,0,2,4,5,0,0.4,0,0.4,0.8
"478","Ellie Kowalski","Division 1","Women","Division 1 Women","Tufts EWO",4,2,4,2,4,5,0.8,0.4,0.8,0.4,0.8
"479","Dylan Wilcox","Division 1","Women","Division 1 Women","Vermont Ruckus",1,2,0,3,4,6,0.166666666666667,0.333333333333333,0,0.5,0.666666666666667
"480","Dylan Pearson","Division 1","Men","Division 1 Men","Cal Ursa Major",0,0,2,2,4,5,0,0,0.4,0.4,0.8
"481","Daniel Ferriter","Division 1","Men","Division 1 Men","NC State Alpha",10,3,9,2,4,6,1.66666666666667,0.5,1.5,0.333333333333333,0.666666666666667
"482","Colin Pfister","Division 3","Men","Division 3 Men","Whitman Sweets",7,2,7,2,4,6,1.16666666666667,0.333333333333333,1.16666666666667,0.333333333333333,0.666666666666667
"483","Charlotte Andreasen","Division 1","Women","Division 1 Women","Michigan Flywheel",4,3,2,3,4,5,0.8,0.6,0.4,0.6,0.8
"484","Carter Petrella","Division 3","Men","Division 3 Men","St Olaf Berzerkers",6,2,4,4,4,6,1,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667
"485","Carter Neuman","Division 1","Men","Division 1 Men","Georgia Jojah",1,2,0,3,4,5,0.2,0.4,0,0.6,0.8
"486","Carson Crouch","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",3,2,3,2,4,7,0.428571428571429,0.285714285714286,0.428571428571429,0.285714285714286,0.571428571428571
"487","Bryn Norton","Division 3","Women","Division 3 Women","Union Jillz",6,7,1,2,4,6,1,1.16666666666667,0.166666666666667,0.333333333333333,0.666666666666667
"488","Benjamin Travers","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",13,0,7,10,4,6,2.16666666666667,0,1.16666666666667,1.66666666666667,0.666666666666667
"489","Ben Fuguet","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",21,9,13,3,4,6,3.5,1.5,2.16666666666667,0.5,0.666666666666667
"490","Aylen Learned","Division 1","Men","Division 1 Men","Colorado Mambird",5,0,7,2,4,7,0.714285714285714,0,1,0.285714285714286,0.571428571428571
"491","Audrey AlQatami","Division 3","Women","Division 3 Women","Occidental WAC",8,5,3,4,4,6,1.33333333333333,0.833333333333333,0.5,0.666666666666667,0.666666666666667
"492","Anna Roth","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",0,0,2,2,4,6,0,0,0.333333333333333,0.333333333333333,0.666666666666667
"493","Amy Tse","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",24,14,9,5,4,6,4,2.33333333333333,1.5,0.833333333333333,0.666666666666667
"494","Alyssa Fallon","Division 1","Women","Division 1 Women","Georgia Athena",0,1,0,3,4,5,0,0.2,0,0.6,0.8
"495","Alesh Fremouw","Division 1","Men","Division 1 Men","Oregon State Beavers",1,3,0,2,4,5,0.2,0.6,0,0.4,0.8
"496","Akshay Bhatia","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",5,5,2,2,4,6,0.833333333333333,0.833333333333333,0.333333333333333,0.333333333333333,0.666666666666667
"497","Aiden Fields","Division 1","Men","Division 1 Men","NC State Alpha",1,1,1,3,4,6,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.666666666666667
"498","Abigail Stevens","Division 1","Women","Division 1 Women","North Carolina Pleiades",1,3,1,1,4,7,0.142857142857143,0.428571428571429,0.142857142857143,0.142857142857143,0.571428571428571
"499","Zoe McDaniel","Division 1","Women","Division 1 Women","Carleton Syzygy",1,3,1,0,3,6,0.166666666666667,0.5,0.166666666666667,0,0.5
"500","Zane Ross","Division 3","Men","Division 3 Men","St Olaf Berzerkers",0,1,1,1,3,6,0,0.166666666666667,0.166666666666667,0.166666666666667,0.5
"501","Zachary Kaufman","Division 1","Men","Division 1 Men","Brown Brownian Motion",0,2,0,1,3,8,0,0.25,0,0.125,0.375
"502","Zach Brennan","Division 1","Men","Division 1 Men","Georgia Jojah",5,4,3,1,3,5,1,0.8,0.6,0.2,0.6
"503","Yael Kaplan","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",2,2,1,2,3,5,0.4,0.4,0.2,0.4,0.6
"504","William McGlynn","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",3,0,2,4,3,5,0.6,0,0.4,0.8,0.6
"505","William Fenimore","Division 3","Men","Division 3 Men","Middlebury Pranksters",3,1,0,5,3,5,0.6,0.2,0,1,0.6
"506","Will Troop","Division 1","Men","Division 1 Men","Carleton CUT",1,1,2,1,3,5,0.2,0.2,0.4,0.2,0.6
"507","Wesley Killough-Hill","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,2,1,0,3,5,0,0.4,0.2,0,0.6
"508","Tobey Chang","Division 1","Men","Division 1 Men","Michigan Magnum",1,0,2,2,3,5,0.2,0,0.4,0.4,0.6
"509","Theo Mahaffey","Division 1","Men","Division 1 Men","Minnesota Grey Duck",1,0,0,4,3,5,0.2,0,0,0.8,0.6
"510","Teddy Schwartz","Division 3","Men","Division 3 Men","Rochester Piggies",0,0,1,2,3,6,0,0,0.166666666666667,0.333333333333333,0.5
"511","Sarah Zhang","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",0,1,0,2,3,6,0,0.166666666666667,0,0.333333333333333,0.5
"512","Sam Kilgore","Division 1","Men","Division 1 Men","Colorado Mambird",0,1,0,2,3,7,0,0.142857142857143,0,0.285714285714286,0.428571428571429
"513","Sabine Blumenthal","Division 3","Women","Division 3 Women","Colorado College Zenith",18,11,6,4,3,6,3,1.83333333333333,1,0.666666666666667,0.5
"514","Ryan Ward","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",13,4,9,3,3,6,2.16666666666667,0.666666666666667,1.5,0.5,0.5
"515","Roni Itkin-Ofer","Division 1","Women","Division 1 Women","Pennsylvania Venus",0,0,1,2,3,5,0,0,0.2,0.4,0.6
"516","Renaud St-Onge","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",1,1,0,3,3,5,0.2,0.2,0,0.6,0.6
"517","Rebecca Hazen","Division 3","Women","Division 3 Women","Carleton Eclipse",5,4,2,2,3,6,0.833333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.5
"518","Owen Snyder-Smith","Division 3","Men","Division 3 Men","Middlebury Pranksters",1,3,1,0,3,5,0.2,0.6,0.2,0,0.6
"519","Owen Alvord","Division 3","Men","Division 3 Men","Whitman Sweets",1,1,1,2,3,6,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.5
"520","Oliver Faase","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",0,1,0,2,3,7,0,0.142857142857143,0,0.285714285714286,0.428571428571429
"521","Noah Urrutia","Division 1","Men","Division 1 Men","Brown Brownian Motion",0,1,0,2,3,8,0,0.125,0,0.25,0.375
"522","Noah Krumme","Division 1","Men","Division 1 Men","North Carolina Darkside",1,0,1,3,3,6,0.166666666666667,0,0.166666666666667,0.5,0.5
"523","Noah Edmonds-Estes","Division 3","Men","Division 3 Men","Bates Orange Whip",2,0,2,3,3,6,0.333333333333333,0,0.333333333333333,0.5,0.5
"524","Nico Gabby","Division 1","Men","Division 1 Men","Vermont Chill",2,1,3,1,3,5,0.4,0.2,0.6,0.2,0.6
