"","player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game"
"64","Michael Poe","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",5,7,10,6,18,5,1,1.4,2,1.2,3.6
"65","Macy Vollbrecht","Division 1","Women","Division 1 Women","Stanford Superfly",22,19,13,8,18,7,3.14285714285714,2.71428571428571,1.85714285714286,1.14285714285714,2.57142857142857
"66","Felix Moren","Division 1","Men","Division 1 Men","Oregon State Beavers",7,0,15,10,18,5,1.4,0,3,2,3.6
"67","Audrey Stineman","Division 3","Women","Division 3 Women","Portland UPRoar",11,8,15,6,18,6,1.83333333333333,1.33333333333333,2.5,1,3
"68","Amelia Hawkins","Division 1","Women","Division 1 Women","Stanford Superfly",1,3,0,16,18,7,0.142857142857143,0.428571428571429,0,2.28571428571429,2.57142857142857
"69","Amaya Krutsinger","Division 1","Women","Division 1 Women","Western Washington Chaos",13,5,11,15,18,5,2.6,1,2.2,3,3.6
"70","Abbie Gillach","Division 1","Women","Division 1 Women","Colorado Quandary",17,11,13,11,18,7,2.42857142857143,1.57142857142857,1.85714285714286,1.57142857142857,2.57142857142857
"71","Sofia Canoutas-Nadel","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",2,6,1,12,17,6,0.333333333333333,1,0.166666666666667,2,2.83333333333333
"72","Logan Piercy","Division 1","Men","Division 1 Men","Penn State Spank",7,11,2,11,17,5,1.4,2.2,0.4,2.2,3.4
"73","Julia Berard","Division 1","Women","Division 1 Women","Oregon Fugue",2,3,5,11,17,6,0.333333333333333,0.5,0.833333333333333,1.83333333333333,2.83333333333333
"74","Erica Collin","Division 3","Women","Division 3 Women","St Olaf Vortex",7,6,5,13,17,5,1.4,1.2,1,2.6,3.4
"75","Elan Siegler","Division 3","Men","Division 3 Men","Whitman Sweets",5,0,13,9,17,6,0.833333333333333,0,2.16666666666667,1.5,2.83333333333333
"76","Ben Dameron","Division 1","Men","Division 1 Men","North Carolina Darkside",14,3,22,6,17,6,2.33333333333333,0.5,3.66666666666667,1,2.83333333333333
"77","Abigail Shilts","Division 1","Women","Division 1 Women","California - San Diego D-Co",18,9,7,19,17,5,3.6,1.8,1.4,3.8,3.4
"78","Aaron Kaplan","Division 1","Men","Division 1 Men","Oregon EGO",7,4,8,12,17,6,1.16666666666667,0.666666666666667,1.33333333333333,2,2.83333333333333
"79","Zach Van Dusen","Division 3","Men","Division 3 Men","Bates Orange Whip",4,5,3,12,16,6,0.666666666666667,0.833333333333333,0.5,2,2.66666666666667
"80","Zac Kuelz","Division 1","Men","Division 1 Men","NC State Alpha",9,0,13,12,16,6,1.5,0,2.16666666666667,2,2.66666666666667
"81","Xavier Fuzat","Division 1","Men","Division 1 Men","Texas TUFF",2,1,12,5,16,5,0.4,0.2,2.4,1,3.2
"82","Willow Purvis","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",5,6,6,9,16,5,1,1.2,1.2,1.8,3.2
"83","Wade Buchheit","Division 3","Men","Division 3 Men","Williams WUFO",5,9,7,5,16,6,0.833333333333333,1.5,1.16666666666667,0.833333333333333,2.66666666666667
"84","Tyler Shanahan","Division 3","Men","Division 3 Men","Davenport Panthers",10,3,19,4,16,6,1.66666666666667,0.5,3.16666666666667,0.666666666666667,2.66666666666667
"85","Laura Blume","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",15,8,18,5,16,5,3,1.6,3.6,1,3.2
"86","Jonah Barer","Division 3","Men","Division 3 Men","Carleton CHOP",4,2,4,14,16,6,0.666666666666667,0.333333333333333,0.666666666666667,2.33333333333333,2.66666666666667
"87","Ellie McDonald","Division 3","Women","Division 3 Women","St Olaf Vortex",7,3,10,10,16,5,1.4,0.6,2,2,3.2
