"","Overall Place","Elapsed Time","Team Name","Team #","Category","Last Finish","Div Place","Team Members"
"1",1,"5:42:02","Barron Heating",51,"Competitive Open","Kayak",1,"Greg Barton, Brad Bauer, Daniel Harm, Joesph Gray, Brian Gregg, J. Marshall Thomson, zsolt szadovszki, Russell Stevenson,"
"2",2,"5:46:42","Team Aeromech",80,"Competitive Open","Kayak",2,"Ivan English, Mike Vincent, sam johnson, B.J. Christenson, Tad Elliott, Max Taam, Sean Rice, David Kessler,"
"3",3,"6:03:24","Barron Heating Legends",175,"Masters","Kayak",1,"Jim Bauer, NICHOLAS BAUER, Mark Franks, Keefer Whan, Kent Murdoch, Michael Hagen, Ian Mackenzie, Loren Hanson,"
"4",4,"6:03:35","BEAVERS TREE SERVICE",473,"Whatcom County Open","Kayak",1,"Brian Boatman, Michael Lee, Scott Alexander, Matt Cummins, Jacob Hartsoch, kirk turner, Brandon Nelson, Brian Ecker,"
"5",5,"6:04:52","Klicks Running and Walking",480,"Whatcom County Open","Kayak",2,"Eric Gerstl, Alan Lipp, Rusty Dodge, Sam Alexander, Logan Wetzel, Jonathan Ralston, kirk Christensen, Aaron Mickles,"
"6",6,"6:19:11","MRSAnaries",70,"Competitive Open","Kayak",3,"Bob Woodman, Glenn Bond, Nate Reiss, Hendrik Kok, Scott Shinneman, Joseph Bonn, David Jacobson, Erik DeRoche,"
"7",7,"6:19:16","GetSimpleBox.com",179,"Masters","Kayak",2,"Joseph Manns, Trevor Robinson, Aaron Berntson, Shaun Marshall-Pryde, Chris Humbert, scott simmons, Eric Moll, Todd gallaher,"
"8",8,"6:19:36","NW Sleep Solutions",73,"Competitive Open","Kayak",4,"Mike Norton, Jon Davies, Alex Telitsine, Dusty Caseria, Marc Andre Bedard, STEVE SELLERS, Greg Bawden, Jeff Grassley,"
"9",9,"6:22:50","Boomer's Drive-In",54,"Competitive Open","Kayak",5,"Ron Williams, Graham Smith, Donald Gillmore, Sean Chester, Samuel Naney, Mike Gifford, Jeff Hilburn, Aaron Pass,"
"10",10,"6:34:49","Nooksackulous",72,"Competitive Open","Kayak",6,"Marc Schwartz, ben whiddon, David Fleischhauer, Brett Walton, Ryan Larson, Lucas Thompson, Dylan Thomas, Davis Shepherd,"
"11",11,"6:44:50","CLAVICLE 3 RACING",177,"Masters","Kayak",3,"Morris Arthur, Brad Clements, P CLEMENT, Paul Haskins, John Spaude, Jon DeWitt, John George, Jeff Cummings,"
"12",12,"6:47:26","Boundary Bay Women's Team",94,"Competitive Women","Kayak",1,"Debbie chadwick, Deighen Blakely, Rosalyn Zylkowski, somer willson, Alysson Marshall, Sabrina Harper, Tracy Landboe, Liza Pye,"
"13",13,"6:47:38","Bank of the Pacific",87,"Competitive Mixed","Kayak",1,"Thom Prichard, Joan Bachleda, John Kodin, Alison Scott, Deb Bauer, Mali Noyes, Dean Bumstead, Jeffery McConaughy,"
"14",14,"6:48:26","In Health Seattle",66,"Competitive Open","Kayak",7,"Dan Cantrell, Richard Stiff, Ian Gerrish, Nathan Minor, Steve Hindman, Mark Vohr, Larry Bussinger, Ryan Denney,"
