"","Overall Place","Elapsed Time","Team Name","Team #","Category","Last Finish","Div Place","Team Members"
"185",185,"9:37:52","Lumberjack In A Little Boat",145,"Recreational Open","Kayak",44,"Eric Bemis, Elizabeth Moga, Kate Barber, Moe Kelsey, nick moga, Matt Skuntz, Grant Brunton, Kate Brunton,"
"186",186,"9:37:53","Seattle ICO Rocks!",227,"Recreational Mixed","Kayak",23,"Marisa Chang, Stephanie Grassia, Kameron Harris, Campbell DIEBOLT, Harry Crawford, Meira Lifson, Hannah Lertola, Andrew Chan,"
"187",187,"9:39:17","Groom's Goons",2,"Recreational Open","Kayak",45,"Kenneth Moffat, Brian Woods, Noah Applebome, Stephen Woods, Andrew Mathews, Rose Howe, James Truitt, Morgan Connelly,"
"188",188,"9:39:35","The Funky Funke's",62,"Recreational Mixed","Kayak",24,"Brandon Johnson, Brad Heusinkveld, Heather Dappen, Chris Eichar, Anna Elliott, chris spalding, Elaine Kelly, Katie Ruthenberg,"
"189",189,"9:39:50","The WetBoyz of Aslan Brew",206,"Car-Free","Kayak",9,"Alexander Horvath, Sweet G, Travis Meyer, Oliver Lazenby, Dylan Drenched, Cale Wilber, Drew Butler, Shope Shope,"
"190",190,"9:40:07","Kulshan Brewing Company",184,"Recreational Mixed","Kayak",25,"Sunny Beaver, Ryan McLaughlin, Ryan Bergsma, David Vitt, Tom Borst, Eric Aislinn, Nathan McLaughlin, Ralph Perona,"
"191",190,"9:40:07","Josh's Hammer",128,"Recreational Open","Kayak",46,"Todd Mason, Ben Charlier-Matthews, Amy MacFadyen, fenton travers, Brian Mason, Josh Johnsen, Adam Winquist, Blake Johnsen,"
"192",192,"9:40:44","Landau Associates",137,"Recreational Open","Kayak",47,"Ben Lee, Della Fawcett, Sean Gertz, Cody Blair, Eric Zick, Celene Blair, Lisa Krivanek, Joe Krivanek,"
"193",193,"9:42:21","Janicki B5",125,"Corporate","Kayak",24,"Chris Jamieson, Andrew Igl, Jason Gaimari, Andrew Yarberry, Paul Yaeger, Colby Allen, Emmanuel Serrano, TJ Chace,"
"194",194,"9:43:42","Spankya",192,"Family","Kayak",6,"Logan Sankey, Henry Spilker, Kevin Sankey, Nolan Sankey, Chris Spilker, Laura Sankey, Pam Sankey, Eric Sankey,"
"195",195,"9:44:19","Papa John",18,"Recreational Open","Kayak",48,"Tore Nelsen, Bridget Harrison, Grant Lee, John Trivett, Ryan Pinnell, Calvin Milbach, Michael Fredlund, Kara Gonzalez,"
"196",196,"9:45:38","Big Sticky Dept. of Athletics",279,"Recreational Open","Kayak",49,"Erik Ryznar, Anders Fredericksen, Tim Douglass, Ben Darin, Daniel Murphy, Jason Chadick, Eric Simonsen, Ryan Barbour,"
"197",197,"9:45:39","Tight and Bright",106,"Competitive Women","Kayak",5,"Marit Kostelyk, Angela Shaw, Jessica Thiessen, Selina Miller, Kathie Schellenberg, Miyabi Gladstein, Simone Joyce, Katherine Levett,"
"198",198,"9:47:16","C15 The Wave",124,"Recreational Mixed","Kayak",26,"Aly Gourd, Hannah Newell, Annah Young, Adam Bates, Emily Ford, Joe Loviska, Emily Baronich, Zachary Lundgren,"
"199",199,"9:47:19","That Was Quick",93,"Recreational Mixed","Kayak",27,"Nicole Redding, Jessica Larson, Hugh Bitzer, Miguel Lopez, Mikaela Medeiros, Martin Tauc, Chris Lenci, Nora Simon,"
"200",200,"9:48:12","Solar Powered People",43,"Recreational Open","Kayak",50,"Jen Stone, Elizabeth Dunn, Mara White, Joshua Miller, Getch Poole, Pasi Virta, Matthew Rust, Chris Shepard,"
"201",201,"9:48:27","Third Place Goals",114,"Recreational Mixed","Kayak",28,"Nathaniel Evans, Cocobianca Taylor, Erin Donovan, Isaac Taylor, Matt Bolte, Amanda Evans, John Turk, Dani Britt,"
"202",202,"9:48:40","Straight West Coastin'",157,"Recreational Open","Kayak",51,"Josh Jones, Sarah Bell, Clark Nielsen, Chris Lawrence, Graham Madison, Tom Laws, Brian Cooper, Joshua Batham,"
"203",203,"9:49:00","The Supersheeters",199,"Recreational Open","Kayak",52,"Glenn Baker, Jeana Kruszynski, Margot Fahey, Luca Perer, Travis Hannon, Scott Parmely, Natasha Bishop, Matt Neckes,"
"204",204,"9:49:18","Beer Runs Downhill",78,"Competitive Open","Kayak",31,"Travis Keithley, Brad Church, Lance Keithley, Axel Kordel, Sonny Bates-Mundell, Jonah Douglas, Daniel Verrell, Alex Kirk,"
"205",205,"9:49:24","Seeking Health Screaming Sheagles",276,"Recreational Women","Kayak",6,"Zoë Vernon, Molly Harding, Jamy Pearson, andrea graham, Jacqui Shaffer, Allison Barrett, Kari Hoss, Amy Wadley,"
"206",206,"9:49:39","Sin it to Win it",226,"Recreational Open","Kayak",53,"William Gordon, Erin Tudor, Melissa Rienstra, Paul Doty, Alex Haughton, Greg Tudor, Joseph Hann, Ryan Cruz,"
"207",207,"9:50:31","Ski to Sea Sissies",228,"Competitive Women","Kayak",6,"Kara Lackey, Laura Eakes, Abby McCormack, Kirstin Anderson, Jennifer Knudsen, Jeanie Pflueger, Kayti Knudsen, Daana Denzel,"
"208",208,"9:50:34","Portland Moustache Club",195,"Recreational Open","Kayak",54,"Adam Kremer, Rebecca Hamilton, Spencer Whitehead, Peter Pham, Sean Scott, Ben Whitehead, Luke Weinstein, Chris Bell,"
"209",209,"9:51:00","PTown Papas",23,"Recreational Open","Kayak",55,"Russ Meyers, Paul Beitelspacher, Craig Hill, Howard Wiley, Rick Beitelspacher, Brian Devereux, Dirk Pettitt, Jason Hopkins,"
"210",210,"9:51:17","Lehecka",277,"Recreational Open","Kayak",56,"Riley Jungquist, Meris Lehecka, Riley Lehecka, Kyle Ringstad, Tyson Rickman, Robert Pollard, William Lehecka, Meghan Lee,"
"211",211,"9:51:24","Rockwood Realty Rogues",155,"Whatcom County Open","Kayak",18,"Lora Olinger, Maria Turberville, Joseph Rooth, jack mutchler, Fred Kennedy, Jon Mutchler, Jon Rockwood, Tiffany Akerlund,"
"212",212,"9:51:44","Therapists gone wild",131,"Recreational Mixed","Kayak",29,"Emily Tierney, Anneliese Lewis, Alan Arnett, Michael Kilgas, Heidi Erchinger, Mary Metcalf, John Tolsma, John Meyer,"
"213",213,"9:52:00","Emily and Co",217,"Recreational Mixed","Kayak",30,"Johann Lahud-Zahner, Alina Fairbanks, Abbi Milner, Hanna Tarleton, Shannon Davies, Oliver Hartman, Emily Webster, Ben Carroll,"
"214",214,"9:52:33","Legal Cowboy",160,"Recreational Open","Kayak",57,"Liza Higbee-Robinson, Austin Williams, Andy Walbrun, Dean Baggs, Rob Hackleman, Nick Sotak, Cassie Head, Eric Buxton,"
"215",215,"9:53:11","Chugglekug",272,"Recreational Open","Kayak",58,"Seth Dougherty, Mandy Derrig, Jim Owens, Kevin Ryan, Natalie Hoyte, Steve Derrig, Kyle Anderson, Katie Anderson,"
"216",216,"9:53:27","Sky-to-sea Hawks",142,"Competitive Mixed","Kayak",9,"Anna Ringsred, Natasha Zacher, Jillian Spies, Alex Gatien, Tristan Louden, Kristoffer Vik Hansen, Ariel Holmwood-Bramwell, Muriel Dunn,"
"217",217,"9:54:23","Seattle ICO - Glamrock is still a thing",236,"Recreational Mixed","Kayak",31,"Dan Van Atta, Alisha Migliore, Angie Boysen, Fred Slater, Alexandra Gustafson, Shawn Dahle, Colleen Duran, Jay Bradshaw,"
